"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE12500105170648489890";"12.04.2026";"12.04.2026";"KARTENZAHLUNG";"SHELL TANKSTELLE 4711";"";"";"";"";"";"";"Shell Deutschland";"DE89370400440532013004";"COBADEFFXXX";"-72,30";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"20.04.2026";"20.04.2026";"KARTENZAHLUNG";"DB Vertrieb Ticket";"";"";"";"";"";"";"Deutsche Bahn AG";"DE86500700100175526304";"COBADEFFXXX";"-49,90";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"01.05.2026";"01.05.2026";"LOHN  GEHALT";"Gehalt Monat 05 2026";"";"";"";"";"";"";"Muster GmbH";"DE02120300000000202051";"COBADEFFXXX";"2.450,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"05.05.2026";"05.05.2026";"DAUERAUFTRAG";"Miete Wohnung";"";"";"";"";"";"";"Hausverwaltung Schmidt";"DE44500105175407324931";"COBADEFFXXX";"-890,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"02.05.2026";"02.05.2026";"FOLGELASTSCHRIFT";"Netflix Abo";"";"";"";"";"";"";"NETFLIX INTERNATIONAL B.V.";"NL18INGB0004489969";"COBADEFFXXX";"-17,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"08.05.2026";"08.05.2026";"FOLGELASTSCHRIFT";"Spotify Premium";"";"";"";"";"";"";"Spotify AB";"SE3550000000054910000003";"COBADEFFXXX";"-11,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"15.05.2026";"15.05.2026";"FOLGELASTSCHRIFT";"Beitrag Krankenversicherung";"";"";"";"";"";"";"Techniker Krankenkasse";"DE86500700100175526303";"COBADEFFXXX";"-118,50";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"14.05.2026";"14.05.2026";"FOLGELASTSCHRIFT";"Abschlag Strom";"";"";"";"";"";"";"Stadtwerke Muenchen";"DE44500105175407324932";"COBADEFFXXX";"-78,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"03.05.2026";"03.05.2026";"KARTENZAHLUNG";"REWE SAGT DANKE 123456";"";"";"";"";"";"";"REWE Markt GmbH";"DE89370400440532013000";"COBADEFFXXX";"-64,20";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"11.05.2026";"11.05.2026";"KARTENZAHLUNG";"EDEKA Filiale";"";"";"";"";"";"";"EDEKA Sued";"DE89370400440532013001";"COBADEFFXXX";"-52,80";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"19.05.2026";"19.05.2026";"KARTENZAHLUNG";"ALDI SUED SAGT DANKE";"";"";"";"";"";"";"ALDI SUED";"DE89370400440532013002";"COBADEFFXXX";"-41,35";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"24.05.2026";"24.05.2026";"KARTENZAHLUNG";"LIDL SAGT DANKE";"";"";"";"";"";"";"LIDL DIENSTLEISTUNG";"DE89370400440532013003";"COBADEFFXXX";"-38,90";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"12.05.2026";"12.05.2026";"KARTENZAHLUNG";"SHELL TANKSTELLE 4711";"";"";"";"";"";"";"Shell Deutschland";"DE89370400440532013004";"COBADEFFXXX";"-72,30";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"20.05.2026";"20.05.2026";"KARTENZAHLUNG";"DB Vertrieb Ticket";"";"";"";"";"";"";"Deutsche Bahn AG";"DE86500700100175526304";"COBADEFFXXX";"-49,90";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"01.06.2026";"01.06.2026";"LOHN  GEHALT";"Gehalt Monat 06 2026";"";"";"";"";"";"";"Muster GmbH";"DE02120300000000202051";"COBADEFFXXX";"2.450,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"05.06.2026";"05.06.2026";"DAUERAUFTRAG";"Miete Wohnung";"";"";"";"";"";"";"Hausverwaltung Schmidt";"DE44500105175407324931";"COBADEFFXXX";"-890,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"02.06.2026";"02.06.2026";"FOLGELASTSCHRIFT";"Netflix Abo";"";"";"";"";"";"";"NETFLIX INTERNATIONAL B.V.";"NL18INGB0004489969";"COBADEFFXXX";"-17,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"08.06.2026";"08.06.2026";"FOLGELASTSCHRIFT";"Spotify Premium";"";"";"";"";"";"";"Spotify AB";"SE3550000000054910000003";"COBADEFFXXX";"-11,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"15.06.2026";"15.06.2026";"FOLGELASTSCHRIFT";"Beitrag Krankenversicherung";"";"";"";"";"";"";"Techniker Krankenkasse";"DE86500700100175526303";"COBADEFFXXX";"-118,50";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"14.06.2026";"14.06.2026";"FOLGELASTSCHRIFT";"Abschlag Strom";"";"";"";"";"";"";"Stadtwerke Muenchen";"DE44500105175407324932";"COBADEFFXXX";"-78,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"03.06.2026";"03.06.2026";"KARTENZAHLUNG";"REWE SAGT DANKE 123456";"";"";"";"";"";"";"REWE Markt GmbH";"DE89370400440532013000";"COBADEFFXXX";"-64,20";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"11.06.2026";"11.06.2026";"KARTENZAHLUNG";"EDEKA Filiale";"";"";"";"";"";"";"EDEKA Sued";"DE89370400440532013001";"COBADEFFXXX";"-52,80";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"19.06.2026";"19.06.2026";"KARTENZAHLUNG";"ALDI SUED SAGT DANKE";"";"";"";"";"";"";"ALDI SUED";"DE89370400440532013002";"COBADEFFXXX";"-41,35";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"24.06.2026";"24.06.2026";"KARTENZAHLUNG";"LIDL SAGT DANKE";"";"";"";"";"";"";"LIDL DIENSTLEISTUNG";"DE89370400440532013003";"COBADEFFXXX";"-38,90";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"12.06.2026";"12.06.2026";"KARTENZAHLUNG";"SHELL TANKSTELLE 4711";"";"";"";"";"";"";"Shell Deutschland";"DE89370400440532013004";"COBADEFFXXX";"-72,30";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"20.06.2026";"20.06.2026";"KARTENZAHLUNG";"DB Vertrieb Ticket";"";"";"";"";"";"";"Deutsche Bahn AG";"DE86500700100175526304";"COBADEFFXXX";"-49,90";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"01.07.2026";"01.07.2026";"LOHN  GEHALT";"Gehalt Monat 07 2026";"";"";"";"";"";"";"Muster GmbH";"DE02120300000000202051";"COBADEFFXXX";"2.450,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"05.07.2026";"05.07.2026";"DAUERAUFTRAG";"Miete Wohnung";"";"";"";"";"";"";"Hausverwaltung Schmidt";"DE44500105175407324931";"COBADEFFXXX";"-890,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"02.07.2026";"02.07.2026";"FOLGELASTSCHRIFT";"Netflix Abo";"";"";"";"";"";"";"NETFLIX INTERNATIONAL B.V.";"NL18INGB0004489969";"COBADEFFXXX";"-17,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"08.07.2026";"08.07.2026";"FOLGELASTSCHRIFT";"Spotify Premium";"";"";"";"";"";"";"Spotify AB";"SE3550000000054910000003";"COBADEFFXXX";"-11,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"15.07.2026";"15.07.2026";"FOLGELASTSCHRIFT";"Beitrag Krankenversicherung";"";"";"";"";"";"";"Techniker Krankenkasse";"DE86500700100175526303";"COBADEFFXXX";"-118,50";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"14.07.2026";"14.07.2026";"FOLGELASTSCHRIFT";"Abschlag Strom";"";"";"";"";"";"";"Stadtwerke Muenchen";"DE44500105175407324932";"COBADEFFXXX";"-78,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"03.07.2026";"03.07.2026";"KARTENZAHLUNG";"REWE SAGT DANKE 123456";"";"";"";"";"";"";"REWE Markt GmbH";"DE89370400440532013000";"COBADEFFXXX";"-64,20";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"11.07.2026";"11.07.2026";"KARTENZAHLUNG";"EDEKA Filiale";"";"";"";"";"";"";"EDEKA Sued";"DE89370400440532013001";"COBADEFFXXX";"-52,80";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"19.07.2026";"19.07.2026";"KARTENZAHLUNG";"ALDI SUED SAGT DANKE";"";"";"";"";"";"";"ALDI SUED";"DE89370400440532013002";"COBADEFFXXX";"-41,35";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"24.07.2026";"24.07.2026";"KARTENZAHLUNG";"LIDL SAGT DANKE";"";"";"";"";"";"";"LIDL DIENSTLEISTUNG";"DE89370400440532013003";"COBADEFFXXX";"-38,90";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"12.07.2026";"12.07.2026";"KARTENZAHLUNG";"SHELL TANKSTELLE 4711";"";"";"";"";"";"";"Shell Deutschland";"DE89370400440532013004";"COBADEFFXXX";"-72,30";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"20.07.2026";"20.07.2026";"KARTENZAHLUNG";"DB Vertrieb Ticket";"";"";"";"";"";"";"Deutsche Bahn AG";"DE86500700100175526304";"COBADEFFXXX";"-49,90";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"18.04.2026";"18.04.2026";"KARTENZAHLUNG";"Kinobesuch";"";"";"";"";"";"";"CinemaxX";"DE89370400440532013010";"COBADEFFXXX";"-24,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"18.05.2026";"18.05.2026";"KARTENZAHLUNG";"Kinobesuch";"";"";"";"";"";"";"CinemaxX";"DE89370400440532013010";"COBADEFFXXX";"-26,50";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"18.06.2026";"18.06.2026";"KARTENZAHLUNG";"Schwimmbad";"";"";"";"";"";"";"Therme Erding";"DE89370400440532013011";"COBADEFFXXX";"-29,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"10.07.2026";"10.07.2026";"KARTENZAHLUNG";"Konzertticket";"";"";"";"";"";"";"Eventim";"DE89370400440532013012";"COBADEFFXXX";"-89,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"17.07.2026";"17.07.2026";"KARTENZAHLUNG";"Festivalticket";"";"";"";"";"";"";"Eventim";"DE89370400440532013012";"COBADEFFXXX";"-119,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"22.07.2026";"22.07.2026";"KARTENZAHLUNG";"Steam Games";"";"";"";"";"";"";"Steam Games";"DE89370400440532013013";"COBADEFFXXX";"-59,99";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"21.07.2026";"21.07.2026";"KARTENZAHLUNG";"Zahlung Beleg 8891";"";"";"";"";"";"";"Hofladen Bergmaier";"DE89370400440532013020";"COBADEFFXXX";"-34,60";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"23.07.2026";"23.07.2026";"KARTENZAHLUNG";"Notebook Kauf";"";"";"";"";"";"";"MediaMarkt";"DE89370400440532013021";"COBADEFFXXX";"-1.249,00";"EUR";"Umsatz gebucht"
"DE12500105170648489890";"16.07.2026";"16.07.2026";"GUTSCHRIFT";"Honorar Projektarbeit";"";"";"";"";"";"";"Beispiel AG";"DE02120300000000202052";"COBADEFFXXX";"310,00";"EUR";"Umsatz gebucht"
